Va,Vb,Vout,Resistance
2.50,3.32,0.82,19767.44
2.50,3.32,0.83,19854.23
2.50,3.31,0.82,19681.16
2.50,3.34,0.85,20295.86
2.50,3.34,0.84,20206.49
2.50,3.31,0.81,19595.38
2.50,3.33,0.83,19941.52
2.50,3.33,0.83,19854.23
2.50,3.32,0.83,19854.23
2.50,3.35,0.86,20476.19
2.50,3.32,0.82,19767.44
2.50,3.33,0.83,19941.52
2.50,3.32,0.82,19767.44
2.50,3.33,0.83,19941.52
2.50,3.35,0.85,20385.76
2.50,3.32,0.83,19854.23
2.50,3.37,0.87,20658.68
2.50,3.34,0.85,20295.86
2.50,3.33,0.83,20029.33
2.50,3.32,0.82,19681.16
2.50,3.33,0.83,19941.52
2.50,3.32,0.82,19767.44
2.50,3.32,0.82,19767.44
2.50,3.33,0.83,19941.52
2.50,3.35,0.85,20385.76
2.50,3.35,0.85,20385.76
2.50,3.33,0.84,20117.65
2.50,3.33,0.83,19941.52
2.50,3.34,0.85,20295.86
2.50,3.33,0.84,20117.65
2.50,3.33,0.83,19941.52
2.50,3.33,0.83,20029.33
2.50,3.33,0.84,20117.65
2.50,3.33,0.84,20117.65
2.50,3.31,0.82,19681.16
2.50,3.32,0.82,19681.16
2.50,3.31,0.82,19681.16
2.50,3.29,0.80,19340.98
2.50,3.31,0.82,19681.16
2.50,3.32,0.82,19767.44
2.50,3.31,0.81,19510.09
2.50,3.32,0.82,19767.44
2.50,3.29,0.79,19257.14
2.50,3.31,0.82,19681.16
2.50,3.30,0.80,19425.29
2.50,3.29,0.80,19340.98
2.50,3.30,0.81,19510.09
2.50,3.31,0.82,19681.16
2.50,3.32,0.83,19854.23
2.50,3.32,0.83,19854.23
2.50,3.30,0.81,19510.09
2.50,3.30,0.80,19425.29
2.50,3.31,0.81,19595.38
2.50,3.32,0.82,19767.44
2.50,3.29,0.79,19257.14
2.50,3.30,0.80,19425.29
2.50,3.29,0.80,19340.98
2.50,3.29,0.79,19257.14
2.50,3.25,0.75,18603.35
2.50,3.21,0.71,17978.14
2.50,3.22,0.72,18054.80
2.50,3.24,0.74,18444.45
2.50,3.20,0.71,17901.91
2.50,3.17,0.68,17453.08
2.50,3.19,0.70,17750.68
2.50,3.16,0.66,17234.04
2.50,3.09,0.60,16256.41
2.50,3.07,0.58,15989.85
2.50,2.96,0.47,14615.38
2.50,2.92,0.42,14037.56
2.50,2.82,0.33,13011.24
2.50,2.82,0.32,12908.28
2.50,2.83,0.33,13063.06
2.50,2.83,0.33,13063.06
2.50,2.83,0.33,13063.06
2.50,2.82,0.33,13011.24
2.50,2.82,0.32,12959.64
2.50,2.82,0.32,12959.64
2.50,2.81,0.32,12908.28
2.50,2.79,0.29,12654.87
2.50,2.73,0.24,12116.63
2.50,2.71,0.21,11880.34
2.50,2.71,0.22,11927.20
2.50,2.70,0.21,11787.23
2.50,2.70,0.20,11740.98
2.50,2.70,0.21,11787.23
2.50,2.71,0.21,11880.34
2.50,2.69,0.19,11649.05
2.50,2.70,0.20,11740.98
2.50,2.67,0.18,11512.61
2.50,2.68,0.18,11512.61
2.50,2.66,0.16,11377.87
2.50,2.64,0.14,11200.83
2.50,2.62,0.12,10983.61
2.50,2.60,0.10,10855.40
2.50,2.60,0.10,10855.40
2.50,2.58,0.08,10686.87
2.50,2.59,0.09,10770.79
2.50,2.59,0.10,10813.01
2.50,2.59,0.09,10770.79
2.50,2.57,0.07,10603.62
2.50,2.57,0.08,10645.16
2.50,2.56,0.07,10562.25
2.50,2.55,0.05,10398.41
2.50,2.53,0.03,10277.23
2.50,2.51,0.02,10157.48
2.50,2.52,0.02,10197.24
2.50,2.52,0.03,10237.15
2.50,2.50,0.00,10000.00
2.50,2.49,-0.00,9961.01
2.50,2.49,-0.01,9922.18
2.50,2.50,0.00,10039.14
2.50,2.49,-0.01,9922.18
2.50,2.46,-0.04,9692.31
2.50,2.46,-0.03,9730.25
2.50,2.45,-0.05,9616.86
2.50,2.45,-0.04,9654.51
2.50,2.44,-0.06,9541.98
2.50,2.42,-0.08,9393.94
2.50,2.42,-0.08,9393.94
2.50,2.41,-0.09,9320.75
2.50,2.40,-0.09,9284.37
2.50,2.41,-0.08,9357.28
2.50,2.41,-0.09,9320.75
2.50,2.40,-0.10,9248.12
2.50,2.38,-0.12,9104.48
2.50,2.38,-0.12,9104.48
2.50,2.39,-0.11,9176.03
2.50,2.37,-0.12,9068.90
2.50,2.38,-0.12,9104.48
2.50,2.39,-0.11,9176.03
2.50,2.38,-0.12,9104.48
2.50,2.36,-0.14,8962.96
2.50,2.38,-0.12,9104.48
2.50,2.39,-0.11,9140.19
2.50,2.35,-0.14,8927.91
2.50,2.36,-0.13,8998.14
2.50,2.36,-0.13,8998.14
2.50,2.37,-0.13,9033.46
2.50,2.37,-0.12,9068.90
2.50,2.38,-0.11,9140.19
2.50,2.38,-0.12,9104.48
2.50,2.35,-0.14,8927.91
2.50,2.36,-0.14,8962.96
2.50,2.38,-0.12,9104.48
2.50,2.39,-0.11,9176.03
2.50,2.37,-0.13,9033.46
2.50,2.37,-0.12,9068.90
2.50,2.38,-0.12,9104.48
2.50,2.36,-0.13,8998.14
2.50,2.37,-0.13,9033.46
2.50,2.37,-0.12,9068.90
2.50,2.38,-0.12,9104.48
2.50,2.37,-0.12,9068.90
2.50,2.39,-0.11,9176.03
2.50,2.39,-0.10,9212.01
2.50,2.36,-0.13,8998.14
2.50,2.37,-0.13,9033.46
2.50,2.36,-0.13,8998.14
2.50,2.38,-0.12,9104.48
2.50,2.36,-0.13,8998.14
2.50,2.36,-0.14,8962.96
2.50,2.36,-0.13,8998.14
2.50,2.36,-0.13,8998.14
2.50,2.36,-0.13,8998.14
2.50,2.38,-0.11,9140.19
2.50,2.37,-0.13,9033.46
2.50,2.37,-0.13,9033.46
2.50,2.37,-0.13,9033.46
2.50,2.37,-0.12,9068.90
2.50,2.35,-0.14,8927.91
2.50,2.37,-0.12,9068.90
2.50,2.36,-0.13,8998.14
2.50,2.37,-0.13,9033.46
2.50,2.34,-0.16,8823.53
2.50,2.36,-0.14,8962.96
2.50,2.37,-0.13,9033.46
2.50,2.35,-0.15,8892.99
2.50,2.36,-0.13,8998.14
2.50,2.36,-0.14,8962.96
2.50,2.36,-0.13,8998.14
2.50,2.37,-0.13,9033.46
2.50,2.35,-0.14,8927.91
2.50,2.36,-0.14,8927.91
2.50,2.38,-0.12,9104.48
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.14,8927.91
2.50,2.36,-0.14,8962.96
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.14,8927.91
2.50,2.37,-0.13,9033.46
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.15,8892.99
2.50,2.36,-0.14,8927.91
2.50,2.34,-0.15,8858.20
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.15,8892.99
2.50,2.36,-0.14,8962.96
2.50,2.36,-0.13,8998.14
2.50,2.34,-0.15,8858.20
2.50,2.35,-0.14,8927.91
2.50,2.34,-0.16,8823.53
2.50,2.35,-0.15,8858.20
2.50,2.36,-0.13,8998.14
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.15,8858.20
2.50,2.33,-0.16,8788.99
2.50,2.33,-0.16,8788.99
2.50,2.35,-0.15,8892.99
2.50,2.34,-0.15,8858.20
2.50,2.34,-0.16,8823.53
2.50,2.35,-0.15,8892.99
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.14,8927.91
2.50,2.35,-0.15,8892.99
2.50,2.33,-0.16,8788.99
2.50,2.35,-0.15,8858.20
2.50,2.32,-0.17,8720.29
2.50,2.34,-0.16,8823.53
2.50,2.33,-0.16,8788.99
2.50,2.34,-0.15,8858.20
2.50,2.35,-0.15,8892.99
2.50,2.33,-0.17,8754.58
2.50,2.34,-0.16,8823.53
2.50,2.35,-0.14,8927.91
2.50,2.34,-0.16,8823.53
2.50,2.33,-0.16,8788.99
2.50,2.32,-0.18,8686.13
2.50,2.29,-0.21,8483.75
2.50,2.30,-0.19,8584.39
2.50,2.30,-0.19,8584.39
2.50,2.29,-0.21,8483.75
2.50,2.29,-0.21,8450.45
2.50,2.27,-0.23,8285.71
2.50,2.26,-0.23,8285.71
2.50,2.25,-0.25,8188.28
2.50,2.25,-0.25,8188.28
2.50,2.24,-0.26,8123.89
2.50,2.25,-0.25,8188.28
2.50,2.22,-0.28,7996.48
2.50,2.22,-0.28,7996.48
2.50,2.21,-0.28,7964.91
2.50,2.21,-0.28,7964.91
2.50,2.20,-0.29,7902.10
2.50,2.19,-0.30,7839.72
2.50,2.18,-0.31,7777.78
2.50,2.19,-0.31,7808.70
2.50,2.19,-0.31,7808.70
2.50,2.18,-0.31,7777.78
2.50,2.18,-0.32,7746.97
2.50,2.19,-0.31,7808.70
2.50,2.17,-0.33,7685.66
2.50,2.18,-0.31,7777.78
2.50,2.17,-0.32,7716.26
2.50,2.17,-0.32,7716.26
2.50,2.16,-0.33,7655.17
2.50,2.15,-0.35,7564.32
2.50,2.14,-0.35,7534.25
2.50,2.13,-0.37,7444.63
2.50,2.11,-0.39,7326.56
2.50,2.09,-0.41,7210.08
2.50,2.08,-0.41,7181.21
2.50,2.08,-0.41,7181.21
2.50,2.07,-0.43,7066.67
2.50,2.09,-0.41,7210.08
2.50,2.09,-0.41,7210.08
2.50,2.08,-0.41,7181.21
2.50,2.08,-0.42,7123.75
2.50,2.08,-0.42,7123.75
2.50,2.07,-0.43,7066.67
2.50,2.07,-0.43,7038.27
2.50,2.07,-0.43,7066.67
2.50,2.07,-0.43,7066.67
2.50,2.07,-0.43,7066.67
2.50,2.07,-0.42,7095.16
2.50,2.08,-0.42,7123.75
2.50,2.07,-0.42,7095.16
2.50,2.06,-0.44,7009.97
2.50,2.06,-0.44,7009.97
2.50,2.06,-0.44,7009.97
2.50,2.07,-0.43,7038.27
2.50,2.06,-0.43,7038.27
2.50,2.06,-0.44,7009.97
2.50,2.05,-0.44,6981.76
2.50,2.04,-0.45,6925.62
2.50,2.04,-0.45,6925.62
2.50,2.05,-0.45,6925.62
2.50,2.04,-0.46,6869.85
2.50,2.04,-0.45,6925.62
2.50,2.04,-0.46,6897.69
2.50,2.04,-0.46,6897.69
2.50,2.05,-0.45,6953.64
2.50,2.05,-0.45,6953.64
2.50,2.04,-0.45,6925.62
2.50,2.06,-0.44,7009.97
2.50,2.04,-0.45,6925.62
2.50,2.06,-0.44,7009.97
2.50,2.03,-0.46,6869.85
2.50,2.05,-0.45,6953.64
2.50,2.04,-0.45,6925.62
2.50,2.04,-0.46,6897.69
2.50,2.05,-0.45,6925.62
2.50,2.04,-0.45,6925.62
2.50,2.06,-0.44,7009.97
2.50,2.05,-0.44,6981.76
2.50,2.06,-0.44,7009.97
2.50,2.05,-0.45,6925.62
2.50,2.05,-0.45,6953.64
2.50,2.05,-0.45,6953.64
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6869.85
2.50,2.04,-0.45,6925.62
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6897.69
2.50,2.04,-0.46,6897.69
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.47,6842.11
2.50,2.03,-0.47,6842.11
2.50,2.03,-0.47,6842.11
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6869.85
2.50,2.04,-0.45,6925.62
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6897.69
2.50,2.04,-0.45,6925.62
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.47,6842.11
2.50,2.05,-0.45,6953.64
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.45,6925.62
2.50,2.03,-0.47,6842.11
2.50,2.03,-0.46,6869.85
2.50,2.02,-0.48,6759.41
2.50,2.03,-0.47,6842.11
2.50,2.05,-0.45,6953.64
2.50,2.02,-0.48,6786.88
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.47,6842.11
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6869.85
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.45,6925.62
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6869.85
2.50,2.04,-0.46,6897.69
2.50,2.02,-0.48,6786.88
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.47,6814.45
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.47,6842.11
2.50,2.02,-0.47,6814.45
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.47,6842.11
2.50,2.03,-0.46,6869.85
2.50,2.02,-0.47,6814.45
2.50,2.04,-0.46,6897.69
2.50,2.03,-0.46,6869.85
2.50,2.04,-0.46,6869.85
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.47,6842.11
2.50,2.02,-0.48,6786.88
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.47,6814.45
2.50,2.02,-0.48,6786.88
2.50,2.02,-0.48,6786.88
2.50,2.04,-0.45,6925.62
2.50,2.02,-0.48,6786.88
2.50,2.02,-0.47,6814.45
2.50,2.02,-0.48,6786.88
2.50,2.04,-0.46,6897.69
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.47,6842.11
2.50,2.02,-0.47,6814.45
2.50,2.03,-0.46,6869.85
2.50,2.02,-0.48,6786.88
2.50,2.03,-0.47,6842.11
2.50,2.03,-0.47,6842.11
2.50,2.03,-0.46,6869.85
2.50,2.03,-0.47,6842.11
2.50,2.02,-0.48,6786.88
2.50,2.02,-0.48,6786.88
2.50,2.03,-0.46,6869.85
2.50,2.02,-0.47,6814.45
2.50,2.02,-0.48,6786.88
2.50,2.01,-0.49,6732.03
2.50,2.01,-0.49,6732.03
2.50,2.02,-0.47,6814.45
2.50,2.01,-0.49,6704.73
2.50,2.00,-0.50,6677.53
2.50,2.01,-0.49,6732.03
2.50,2.00,-0.49,6704.73
2.50,1.98,-0.51,6596.43
2.50,1.96,-0.54,6463.02
2.50,1.92,-0.58,6253.97
2.50,1.91,-0.59,6202.53
2.50,1.91,-0.58,6228.21
2.50,1.90,-0.60,6151.42
2.50,1.91,-0.59,6202.53
2.50,1.90,-0.59,6176.94
2.50,1.89,-0.60,6125.98
2.50,1.90,-0.60,6151.42
2.50,1.90,-0.59,6176.94
2.50,1.90,-0.59,6176.94
2.50,1.92,-0.58,6253.97
2.50,1.90,-0.60,6151.42
2.50,1.89,-0.61,6075.35
2.50,1.89,-0.60,6125.98
2.50,1.88,-0.61,6075.35
2.50,1.88,-0.61,6075.35
2.50,1.87,-0.63,5975.04
2.50,1.87,-0.63,5975.04
2.50,1.85,-0.65,5875.97
2.50,1.85,-0.65,5851.39
2.50,1.85,-0.65,5875.97
2.50,1.84,-0.65,5851.39
2.50,1.85,-0.64,5900.62
2.50,1.84,-0.65,5851.39
2.50,1.84,-0.65,5851.39
2.50,1.83,-0.67,5778.12
2.50,1.81,-0.69,5681.47
2.50,1.83,-0.67,5778.12
2.50,1.81,-0.69,5681.47
2.50,1.81,-0.68,5705.52
2.50,1.83,-0.67,5778.12
2.50,1.81,-0.69,5657.49
2.50,1.80,-0.70,5633.59
2.50,1.79,-0.70,5609.76
2.50,1.81,-0.69,5681.47
2.50,1.80,-0.70,5633.59
2.50,1.80,-0.70,5633.59
2.50,1.79,-0.70,5609.76
2.50,1.80,-0.69,5657.49
2.50,1.79,-0.71,5586.00
2.50,1.79,-0.70,5609.76
2.50,1.78,-0.72,5538.70
2.50,1.79,-0.71,5586.00
2.50,1.79,-0.70,5609.76
2.50,1.78,-0.71,5562.31
2.50,1.79,-0.70,5609.76
2.50,1.78,-0.72,5538.70
2.50,1.79,-0.71,5586.00
2.50,1.77,-0.73,5491.68
2.50,1.78,-0.72,5538.70
2.50,1.77,-0.72,5515.15
2.50,1.78,-0.72,5538.70
2.50,1.77,-0.72,5515.15
2.50,1.80,-0.70,5633.59
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.72,5538.70
2.50,1.80,-0.70,5633.59
2.50,1.79,-0.71,5586.00
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.71,5562.31
2.50,1.79,-0.71,5562.31
2.50,1.77,-0.73,5491.68
2.50,1.78,-0.72,5515.15
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.72,5538.70
2.50,1.79,-0.71,5586.00
2.50,1.77,-0.73,5491.68
2.50,1.78,-0.72,5538.70
2.50,1.78,-0.72,5538.70
2.50,1.77,-0.73,5491.68
2.50,1.77,-0.72,5515.15
2.50,1.78,-0.72,5515.15
2.50,1.79,-0.71,5586.00
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.72,5538.70
2.50,1.78,-0.71,5562.31
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.72,5538.70
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.71,5562.31
2.50,1.80,-0.70,5633.59
2.50,1.78,-0.71,5562.31
2.50,1.79,-0.71,5586.00
2.50,1.78,-0.72,5515.15
2.50,1.77,-0.72,5515.15
2.50,1.77,-0.73,5468.28
2.50,1.79,-0.70,5609.76
2.50,1.77,-0.72,5515.15
2.50,1.77,-0.72,5515.15
2.50,1.78,-0.71,5562.31
2.50,1.76,-0.73,5468.28
2.50,1.78,-0.72,5538.70
2.50,1.77,-0.73,5491.68
2.50,1.75,-0.75,5398.50
2.50,1.76,-0.73,5468.28
2.50,1.78,-0.71,5562.31
2.50,1.77,-0.73,5491.68
2.50,1.77,-0.72,5515.15
2.50,1.77,-0.73,5491.68
2.50,1.77,-0.72,5515.15
2.50,1.76,-0.73,5468.28
2.50,1.76,-0.74,5444.95
2.50,1.76,-0.73,5468.28
2.50,1.76,-0.73,5468.28
2.50,1.75,-0.74,5421.69
2.50,1.74,-0.75,5375.37
2.50,1.73,-0.77,5306.43
2.50,1.74,-0.76,5352.32
2.50,1.72,-0.78,5260.80
2.50,1.71,-0.78,5238.10
2.50,1.73,-0.77,5306.43
2.50,1.72,-0.78,5260.80
2.50,1.71,-0.78,5238.10
2.50,1.71,-0.79,5192.88
2.50,1.72,-0.78,5238.10
2.50,1.71,-0.79,5215.45
2.50,1.70,-0.80,5170.37
2.50,1.69,-0.81,5125.55
2.50,1.69,-0.80,5147.93
2.50,1.68,-0.81,5103.25
2.50,1.67,-0.83,5014.66
2.50,1.69,-0.81,5125.55
2.50,1.68,-0.82,5081.00
2.50,1.68,-0.81,5103.25
2.50,1.66,-0.84,4970.76
2.50,1.67,-0.83,5036.71
2.50,1.66,-0.83,4992.68
2.50,1.68,-0.82,5081.00
2.50,1.67,-0.83,5036.71
2.50,1.65,-0.84,4948.91
2.50,1.67,-0.83,5036.71
2.50,1.66,-0.84,4948.91
2.50,1.67,-0.83,5036.71
2.50,1.65,-0.84,4948.91
2.50,1.66,-0.83,4992.68
2.50,1.66,-0.83,4992.68
2.50,1.66,-0.84,4970.76
2.50,1.66,-0.83,4992.68
2.50,1.66,-0.83,4992.68
2.50,1.65,-0.84,4948.91
2.50,1.67,-0.83,5014.66
2.50,1.65,-0.85,4927.11
2.50,1.64,-0.86,4862.12
2.50,1.63,-0.86,4862.12
2.50,1.64,-0.85,4905.39
2.50,1.66,-0.84,4970.76
2.50,1.64,-0.86,4883.72
2.50,1.65,-0.85,4927.11
2.50,1.66,-0.84,4948.91
2.50,1.63,-0.87,4840.58
2.50,1.65,-0.85,4927.11
2.50,1.63,-0.86,4862.12
2.50,1.65,-0.85,4927.11
2.50,1.65,-0.85,4927.11
2.50,1.64,-0.86,4883.72
2.50,1.65,-0.85,4927.11
2.50,1.66,-0.84,4970.76
2.50,1.65,-0.85,4927.11
2.50,1.63,-0.86,4862.12
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.86,4883.72
2.50,1.66,-0.84,4970.76
2.50,1.62,-0.87,4819.10
2.50,1.64,-0.85,4905.39
2.50,1.64,-0.85,4905.39
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.86,4862.12
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.85,4905.39
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.86,4862.12
2.50,1.64,-0.86,4883.72
2.50,1.64,-0.85,4905.39
2.50,1.62,-0.88,4797.69
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.85,4905.39
2.50,1.62,-0.87,4819.10
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.88,4797.69
2.50,1.64,-0.86,4883.72
2.50,1.64,-0.85,4905.39
2.50,1.65,-0.85,4927.11
2.50,1.64,-0.85,4905.39
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.86,4883.72
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.85,4905.39
2.50,1.63,-0.86,4862.12
2.50,1.62,-0.88,4797.69
2.50,1.62,-0.87,4819.10
2.50,1.64,-0.86,4883.72
2.50,1.62,-0.88,4797.69
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.86,4862.12
2.50,1.60,-0.90,4712.64
2.50,1.63,-0.87,4819.10
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.86,4862.12
2.50,1.64,-0.85,4905.39
2.50,1.61,-0.88,4776.33
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.88,4797.69
2.50,1.62,-0.87,4819.10
2.50,1.64,-0.86,4883.72
2.50,1.62,-0.88,4797.69
2.50,1.63,-0.86,4862.12
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.88,4797.69
2.50,1.61,-0.89,4755.04
2.50,1.62,-0.87,4819.10
2.50,1.62,-0.87,4819.10
2.50,1.64,-0.86,4883.72
2.50,1.62,-0.87,4819.10
2.50,1.62,-0.88,4797.69
2.50,1.63,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4819.10
2.50,1.63,-0.86,4862.12
2.50,1.62,-0.88,4797.69
2.50,1.62,-0.88,4797.69
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.87,4840.58
2.50,1.61,-0.88,4776.33
2.50,1.62,-0.88,4776.33
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4819.10
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.64,-0.85,4905.39
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.86,4862.12
2.50,1.64,-0.86,4883.72
2.50,1.62,-0.88,4776.33
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.88,4797.69
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.86,4862.12
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4819.10
2.50,1.62,-0.88,4797.69
2.50,1.62,-0.87,4819.10
2.50,1.62,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.63,-0.87,4819.10
2.50,1.63,-0.86,4862.12
2.50,1.62,-0.88,4797.69
2.50,1.63,-0.87,4819.10
2.50,1.63,-0.87,4840.58
2.50,1.62,-0.88,4797.69
2.50,1.61,-0.88,4776.33
2.50,1.62,-0.88,4797.69
2.50,1.63,-0.86,4862.12
2.50,1.62,-0.87,4819.10
2.50,1.62,-0.88,4797.69
